Column 1,Column 2,Modifier Indicator
01392,99282,Standard preparation/monitoring services for anesthesia
01392,99283,Standard preparation/monitoring services for anesthesia
01400,93000,Standard preparation/monitoring services for anesthesia
01400,93010,Standard preparation/monitoring services for anesthesia
01400,99213,Standard preparation/monitoring services for anesthesia
01400,99282,Standard preparation/monitoring services for anesthesia
01400,99283,Standard preparation/monitoring services for anesthesia
01402,93000,Standard preparation/monitoring services for anesthesia
01402,93010,Standard preparation/monitoring services for anesthesia
01402,99213,Standard preparation/monitoring services for anesthesia
01402,99282,Standard preparation/monitoring services for anesthesia
01402,99283,Standard preparation/monitoring services for anesthesia
01404,93000,Standard preparation/monitoring services for anesthesia
01404,93010,Standard preparation/monitoring services for anesthesia
01404,99213,Standard preparation/monitoring services for anesthesia
01404,99282,Standard preparation/monitoring services for anesthesia
01404,99283,Standard preparation/monitoring services for anesthesia
01420,93000,Standard preparation/monitoring services for anesthesia
01420,93010,Standard preparation/monitoring services for anesthesia
01420,99213,Standard preparation/monitoring services for anesthesia
01420,99282,Standard preparation/monitoring services for anesthesia
01420,99283,Standard preparation/monitoring services for anesthesia
01430,93000,Standard preparation/monitoring services for anesthesia
01430,93010,Standard preparation/monitoring services for anesthesia
01430,99213,Standard preparation/monitoring services for anesthesia
01430,99282,Standard preparation/monitoring services for anesthesia
01430,99283,Standard preparation/monitoring services for anesthesia
01432,93000,Standard preparation/monitoring services for anesthesia
01432,93010,Standard preparation/monitoring services for anesthesia
01432,99213,Standard preparation/monitoring services for anesthesia
01432,99282,Standard preparation/monitoring services for anesthesia
01432,99283,Standard preparation/monitoring services for anesthesia
01440,93000,Standard preparation/monitoring services for anesthesia
01440,93010,Standard preparation/monitoring services for anesthesia
01440,99213,Standard preparation/monitoring services for anesthesia
01440,99282,Standard preparation/monitoring services for anesthesia
01440,99283,Standard preparation/monitoring services for anesthesia
01442,93000,Standard preparation/monitoring services for anesthesia
01442,93010,Standard preparation/monitoring services for anesthesia
01442,99213,Standard preparation/monitoring services for anesthesia
01442,99282,Standard preparation/monitoring services for anesthesia
01442,99283,Standard preparation/monitoring services for anesthesia
01444,93000,Standard preparation/monitoring services for anesthesia
01444,93010,Standard preparation/monitoring services for anesthesia
01444,99213,Standard preparation/monitoring services for anesthesia
01444,99282,Standard preparation/monitoring services for anesthesia
01444,99283,Standard preparation/monitoring services for anesthesia
0144T,93000,Standards of medical/surgical practice
0144T,93010,Standards of medical/surgical practice
0145T,93000,Standards of medical/surgical practice
0145T,93010,Standards of medical/surgical practice
01462,93000,Standard preparation/monitoring services for anesthesia
01462,93010,Standard preparation/monitoring services for anesthesia
01462,99213,Standard preparation/monitoring services for anesthesia
01462,99282,Standard preparation/monitoring services for anesthesia
01462,99283,Standard preparation/monitoring services for anesthesia
01464,93000,Standard preparation/monitoring services for anesthesia
01464,93010,Standard preparation/monitoring services for anesthesia
01464,99213,Standard preparation/monitoring services for anesthesia
01464,99282,Standard preparation/monitoring services for anesthesia
01464,99283,Standard preparation/monitoring services for anesthesia
0146T,93000,Standards of medical/surgical practice
0146T,93010,Standards of medical/surgical practice
01470,93000,Standard preparation/monitoring services for anesthesia
01470,93010,Standard preparation/monitoring services for anesthesia
01470,99213,Standard preparation/monitoring services for anesthesia
01470,99282,Standard preparation/monitoring services for anesthesia
01470,99283,Standard preparation/monitoring services for anesthesia
01472,93000,Standard preparation/monitoring services for anesthesia
01472,93010,Standard preparation/monitoring services for anesthesia
01472,99213,Standard preparation/monitoring services for anesthesia
01472,99282,Standard preparation/monitoring services for anesthesia
01472,99283,Standard preparation/monitoring services for anesthesia
01474,93000,Standard preparation/monitoring services for anesthesia
01474,93010,Standard preparation/monitoring services for anesthesia
01474,99213,Standard preparation/monitoring services for anesthesia
01474,99282,Standard preparation/monitoring services for anesthesia
01474,99283,Standard preparation/monitoring services for anesthesia
0147T,93000,Standards of medical/surgical practice
0147T,93010,Standards of medical/surgical practice
01480,93000,Standard preparation/monitoring services for anesthesia
01480,93010,Standard preparation/monitoring services for anesthesia
01480,99213,Standard preparation/monitoring services for anesthesia
01480,99282,Standard preparation/monitoring services for anesthesia
01480,99283,Standard preparation/monitoring services for anesthesia
01482,93000,Standard preparation/monitoring services for anesthesia
01482,93010,Standard preparation/monitoring services for anesthesia
01482,99213,Standard preparation/monitoring services for anesthesia
01482,99282,Standard preparation/monitoring services for anesthesia
01482,99283,Standard preparation/monitoring services for anesthesia
01484,93000,Standard preparation/monitoring services for anesthesia
01484,93010,Standard preparation/monitoring services for anesthesia
01484,99213,Standard preparation/monitoring services for anesthesia
01484,99282,Standard preparation/monitoring services for anesthesia
01484,99283,Standard preparation/monitoring services for anesthesia
01486,93000,Standard preparation/monitoring services for anesthesia
01486,93010,Standard preparation/monitoring services for anesthesia
01486,99213,Standard preparation/monitoring services for anesthesia
01486,99282,Standard preparation/monitoring services for anesthesia
01486,99283,Standard preparation/monitoring services for anesthesia
0148T,93000,Standards of medical/surgical practice
0148T,93010,Standards of medical/surgical practice
01490,93000,Standard preparation/monitoring services for anesthesia
01490,93010,Standard preparation/monitoring services for anesthesia
01490,99213,Standard preparation/monitoring services for anesthesia
01490,99282,Standard preparation/monitoring services for anesthesia
01490,99283,Standard preparation/monitoring services for anesthesia
0149T,93000,Standards of medical/surgical practice
0149T,93010,Standards of medical/surgical practice
01500,93000,Standard preparation/monitoring services for anesthesia
01500,93010,Standard preparation/monitoring services for anesthesia
01500,99213,Standard preparation/monitoring services for anesthesia
01500,99282,Standard preparation/monitoring services for anesthesia
01500,99283,Standard preparation/monitoring services for anesthesia
01502,93000,Standard preparation/monitoring services for anesthesia
01502,93010,Standard preparation/monitoring services for anesthesia
01502,99213,Standard preparation/monitoring services for anesthesia
01502,99282,Standard preparation/monitoring services for anesthesia
01502,99283,Standard preparation/monitoring services for anesthesia
0150T,93000,Standards of medical/surgical practice
0150T,93010,Standards of medical/surgical practice
01520,93000,Standard preparation/monitoring services for anesthesia
01520,93010,Standard preparation/monitoring services for anesthesia
01520,99213,Standard preparation/monitoring services for anesthesia
01520,99282,Standard preparation/monitoring services for anesthesia
01520,99283,Standard preparation/monitoring services for anesthesia
01522,93000,Standard preparation/monitoring services for anesthesia
01522,93010,Standard preparation/monitoring services for anesthesia
01522,99213,Standard preparation/monitoring services for anesthesia
01522,99282,Standard preparation/monitoring services for anesthesia
01522,99283,Standard preparation/monitoring services for anesthesia
01610,93000,Standard preparation/monitoring services for anesthesia
01610,93010,Standard preparation/monitoring services for anesthesia
01610,99213,Standard preparation/monitoring services for anesthesia
01610,99282,Standard preparation/monitoring services for anesthesia
01610,99283,Standard preparation/monitoring services for anesthesia
01620,93000,Standard preparation/monitoring services for anesthesia
01620,93010,Standard preparation/monitoring services for anesthesia
01620,99213,Standard preparation/monitoring services for anesthesia
01620,99282,Standard preparation/monitoring services for anesthesia
01620,99283,Standard preparation/monitoring services for anesthesia
01622,93000,Standard preparation/monitoring services for anesthesia
01622,93010,Standard preparation/monitoring services for anesthesia
01622,99213,Standard preparation/monitoring services for anesthesia
01622,99282,Standard preparation/monitoring services for anesthesia
01622,99283,Standard preparation/monitoring services for anesthesia
01630,93000,Standard preparation/monitoring services for anesthesia
01630,93010,Standard preparation/monitoring services for anesthesia
01630,99213,Standard preparation/monitoring services for anesthesia
01630,99282,Standard preparation/monitoring services for anesthesia
01630,99283,Standard preparation/monitoring services for anesthesia
01632,93000,Standard preparation/monitoring services for anesthesia
01632,93010,Standard preparation/monitoring services for anesthesia
01632,99213,Standard preparation/monitoring services for anesthesia
01632,99282,Standard preparation/monitoring services for anesthesia
01632,99283,Standard preparation/monitoring services for anesthesia
01634,93000,Standard preparation/monitoring services for anesthesia
01634,93010,Standard preparation/monitoring services for anesthesia
01634,99213,Standard preparation/monitoring services for anesthesia
01634,99282,Standard preparation/monitoring services for anesthesia
01634,99283,Standard preparation/monitoring services for anesthesia
01636,93000,Standard preparation/monitoring services for anesthesia
01636,93010,Standard preparation/monitoring services for anesthesia
01636,99213,Standard preparation/monitoring services for anesthesia
01636,99282,Standard preparation/monitoring services for anesthesia
01636,99283,Standard preparation/monitoring services for anesthesia
01638,93000,Standard preparation/monitoring services for anesthesia
01638,93010,Standard preparation/monitoring services for anesthesia
01638,99213,Standard preparation/monitoring services for anesthesia
01638,99282,Standard preparation/monitoring services for anesthesia
01638,99283,Standard preparation/monitoring services for anesthesia
01650,93000,Standard preparation/monitoring services for anesthesia
01650,93010,Standard preparation/monitoring services for anesthesia
01650,99213,Standard preparation/monitoring services for anesthesia
01650,99282,Standard preparation/monitoring services for anesthesia
01650,99283,Standard preparation/monitoring services for anesthesia
01652,93000,Standard preparation/monitoring services for anesthesia
01652,93010,Standard preparation/monitoring services for anesthesia
01652,99213,Standard preparation/monitoring services for anesthesia
01652,99282,Standard preparation/monitoring services for anesthesia
01652,99283,Standard preparation/monitoring services for anesthesia
01654,93000,Standard preparation/monitoring services for anesthesia
01654,93010,Standard preparation/monitoring services for anesthesia
01654,99213,Standard preparation/monitoring services for anesthesia
01654,99282,Standard preparation/monitoring services for anesthesia
01654,99283,Standard preparation/monitoring services for anesthesia
01656,93000,Standard preparation/monitoring services for anesthesia
01656,93010,Standard preparation/monitoring services for anesthesia
01656,99213,Standard preparation/monitoring services for anesthesia
01656,99282,Standard preparation/monitoring services for anesthesia
01656,99283,Standard preparation/monitoring services for anesthesia
0166U,80053,Misuse of Column Two code with Column One code
01670,93000,Standard preparation/monitoring services for anesthesia
01670,93010,Standard preparation/monitoring services for anesthesia
01670,99213,Standard preparation/monitoring services for anesthesia
01670,99282,Standard preparation/monitoring services for anesthesia
01670,99283,Standard preparation/monitoring services for anesthesia
01680,93000,Standard preparation/monitoring services for anesthesia
01680,93010,Standard preparation/monitoring services for anesthesia
01680,99213,Standard preparation/monitoring services for anesthesia
01680,99282,Standard preparation/monitoring services for anesthesia
01680,99283,Standard preparation/monitoring services for anesthesia
01682,93000,Standard preparation/monitoring services for anesthesia
01682,93010,Standard preparation/monitoring services for anesthesia
01682,99213,Standard preparation/monitoring services for anesthesia
01682,99282,Standard preparation/monitoring services for anesthesia
01682,99283,Standard preparation/monitoring services for anesthesia
01710,93000,Standard preparation/monitoring services for anesthesia
01710,93010,Standard preparation/monitoring services for anesthesia
01710,99213,Standard preparation/monitoring services for anesthesia
01710,99282,Standard preparation/monitoring services for anesthesia
01710,99283,Standard preparation/monitoring services for anesthesia
01712,93000,Standard preparation/monitoring services for anesthesia
01712,93010,Standard preparation/monitoring services for anesthesia
01712,99213,Standard preparation/monitoring services for anesthesia
01712,99282,Standard preparation/monitoring services for anesthesia
01712,99283,Standard preparation/monitoring services for anesthesia
01714,93000,Standard preparation/monitoring services for anesthesia
01714,93010,Standard preparation/monitoring services for anesthesia
01714,99213,Standard preparation/monitoring services for anesthesia
01714,99282,Standard preparation/monitoring services for anesthesia
01714,99283,Standard preparation/monitoring services for anesthesia
01716,93000,Standard preparation/monitoring services for anesthesia
01716,93010,Standard preparation/monitoring services for anesthesia
01716,99213,Standard preparation/monitoring services for anesthesia
01716,99282,Standard preparation/monitoring services for anesthesia
01716,99283,Standard preparation/monitoring services for anesthesia
01730,93000,Standard preparation/monitoring services for anesthesia
01730,93010,Standard preparation/monitoring services for anesthesia
01730,99213,Standard preparation/monitoring services for anesthesia
01730,99282,Standard preparation/monitoring services for anesthesia
01730,99283,Standard preparation/monitoring services for anesthesia
01732,93000,Standard preparation/monitoring services for anesthesia
01732,93010,Standard preparation/monitoring services for anesthesia
01732,99213,Standard preparation/monitoring services for anesthesia
01732,99282,Standard preparation/monitoring services for anesthesia
01732,99283,Standard preparation/monitoring services for anesthesia
01740,93000,Standard preparation/monitoring services for anesthesia
01740,93010,Standard preparation/monitoring services for anesthesia
01740,99213,Standard preparation/monitoring services for anesthesia
01740,99282,Standard preparation/monitoring services for anesthesia
01740,99283,Standard preparation/monitoring services for anesthesia
01742,93000,Standard preparation/monitoring services for anesthesia
01742,93010,Standard preparation/monitoring services for anesthesia
01742,99213,Standard preparation/monitoring services for anesthesia
01742,99282,Standard preparation/monitoring services for anesthesia
01742,99283,Standard preparation/monitoring services for anesthesia
01744,93000,Standard preparation/monitoring services for anesthesia
01744,93010,Standard preparation/monitoring services for anesthesia
01744,99213,Standard preparation/monitoring services for anesthesia
01744,99282,Standard preparation/monitoring services for anesthesia
01744,99283,Standard preparation/monitoring services for anesthesia
01756,93000,Standard preparation/monitoring services for anesthesia
01756,93010,Standard preparation/monitoring services for anesthesia
01756,99213,Standard preparation/monitoring services for anesthesia
01756,99282,Standard preparation/monitoring services for anesthesia
01756,99283,Standard preparation/monitoring services for anesthesia
01758,93000,Standard preparation/monitoring services for anesthesia
01758,93010,Standard preparation/monitoring services for anesthesia
01758,99213,Standard preparation/monitoring services for anesthesia
01758,99282,Standard preparation/monitoring services for anesthesia
01758,99283,Standard preparation/monitoring services for anesthesia
01760,93000,Standard preparation/monitoring services for anesthesia
01760,93010,Standard preparation/monitoring services for anesthesia
01760,99213,Standard preparation/monitoring services for anesthesia
01760,99282,Standard preparation/monitoring services for anesthesia
01760,99283,Standard preparation/monitoring services for anesthesia
01770,93000,Standard preparation/monitoring services for anesthesia
01770,93010,Standard preparation/monitoring services for anesthesia
01770,99213,Standard preparation/monitoring services for anesthesia
01770,99282,Standard preparation/monitoring services for anesthesia
01770,99283,Standard preparation/monitoring services for anesthesia
01772,93000,Standard preparation/monitoring services for anesthesia
01772,93010,Standard preparation/monitoring services for anesthesia
01772,99213,Standard preparation/monitoring services for anesthesia
01772,99282,Standard preparation/monitoring services for anesthesia
01772,99283,Standard preparation/monitoring services for anesthesia
01780,93000,Standard preparation/monitoring services for anesthesia
01780,93010,Standard preparation/monitoring services for anesthesia
01780,99213,Standard preparation/monitoring services for anesthesia
01780,99282,Standard preparation/monitoring services for anesthesia
01780,99283,Standard preparation/monitoring services for anesthesia
01782,93000,Standard preparation/monitoring services for anesthesia
01782,93010,Standard preparation/monitoring services for anesthesia
01782,99213,Standard preparation/monitoring services for anesthesia
01782,99282,Standard preparation/monitoring services for anesthesia
01782,99283,Standard preparation/monitoring services for anesthesia
0178T,93000,More extensive procedure
0178T,93010,More extensive procedure
0179T,93000,Misuse of Column Two code with Column One code
0179T,93010,Misuse of Column Two code with Column One code
0180T,93000,Misuse of Column Two code with Column One code
0180T,93010,More extensive procedure
01810,93000,Standard preparation/monitoring services for anesthesia
01810,93010,Standard preparation/monitoring services for anesthesia
01810,99213,Standard preparation/monitoring services for anesthesia
01810,99282,Standard preparation/monitoring services for anesthesia
01810,99283,Standard preparation/monitoring services for anesthesia
01820,93000,Standard preparation/monitoring services for anesthesia
01820,93010,Standard preparation/monitoring services for anesthesia
01820,99213,Standard preparation/monitoring services for anesthesia
01820,99282,Standard preparation/monitoring services for anesthesia
01820,99283,Standard preparation/monitoring services for anesthesia
01829,93000,Standard preparation/monitoring services for anesthesia
01829,93010,Standard preparation/monitoring services for anesthesia
01829,99213,Standard preparation/monitoring services for anesthesia
01829,99282,Standard preparation/monitoring services for anesthesia
01829,99283,Standard preparation/monitoring services for anesthesia
01830,93000,Standard preparation/monitoring services for anesthesia
01830,93010,Standard preparation/monitoring services for anesthesia
01830,99213,Standard preparation/monitoring services for anesthesia
01830,99282,Standard preparation/monitoring services for anesthesia
01830,99283,Standard preparation/monitoring services for anesthesia
01832,93000,Standard preparation/monitoring services for anesthesia
01832,93010,Standard preparation/monitoring services for anesthesia
01832,99213,Standard preparation/monitoring services for anesthesia
01832,99282,Standard preparation/monitoring services for anesthesia
01832,99283,Standard preparation/monitoring services for anesthesia
01840,93000,Standard preparation/monitoring services for anesthesia
01840,93010,Standard preparation/monitoring services for anesthesia
01840,99213,Standard preparation/monitoring services for anesthesia
01840,99282,Standard preparation/monitoring services for anesthesia
01840,99283,Standard preparation/monitoring services for anesthesia
01842,93000,Standard preparation/monitoring services for anesthesia
01842,93010,Standard preparation/monitoring services for anesthesia
01842,99213,Standard preparation/monitoring services for anesthesia
01842,99282,Standard preparation/monitoring services for anesthesia
01842,99283,Standard preparation/monitoring services for anesthesia
01844,93000,Standard preparation/monitoring services for anesthesia
01844,93010,Standard preparation/monitoring services for anesthesia
01844,99213,Standard preparation/monitoring services for anesthesia
01844,99282,Standard preparation/monitoring services for anesthesia
01844,99283,Standard preparation/monitoring services for anesthesia
01850,93000,Standard preparation/monitoring services for anesthesia
01850,93010,Standard preparation/monitoring services for anesthesia
01850,99213,Standard preparation/monitoring services for anesthesia
01850,99282,Standard preparation/monitoring services for anesthesia
01850,99283,Standard preparation/monitoring services for anesthesia
01852,93000,Standard preparation/monitoring services for anesthesia
01852,93010,Standard preparation/monitoring services for anesthesia
01852,99213,Standard preparation/monitoring services for anesthesia
01852,99282,Standard preparation/monitoring services for anesthesia
01852,99283,Standard preparation/monitoring services for anesthesia
01860,93000,Standard preparation/monitoring services for anesthesia
01860,93010,Standard preparation/monitoring services for anesthesia
01860,99213,Standard preparation/monitoring services for anesthesia
01860,99282,Standard preparation/monitoring services for anesthesia
01860,99283,Standard preparation/monitoring services for anesthesia
01916,93000,Standard preparation/monitoring services for anesthesia
01916,93010,Standard preparation/monitoring services for anesthesia
01916,99213,Standard preparation/monitoring services for anesthesia
01916,99282,Standard preparation/monitoring services for anesthesia
01916,99283,Standard preparation/monitoring services for anesthesia
0191T,93000,Standards of medical/surgical practice
0191T,93010,Standards of medical/surgical practice
01920,93000,Standard preparation/monitoring services for anesthesia
01920,93010,Standard preparation/monitoring services for anesthesia
01920,99213,Standard preparation/monitoring services for anesthesia
01920,99282,Standard preparation/monitoring services for anesthesia
01920,99283,Standard preparation/monitoring services for anesthesia
01922,93000,Standard preparation/monitoring services for anesthesia
01922,93010,Standard preparation/monitoring services for anesthesia
01922,99213,Standard preparation/monitoring services for anesthesia
01922,99282,Standard preparation/monitoring services for anesthesia
01922,99283,Standard preparation/monitoring services for anesthesia
01924,93000,Standard preparation/monitoring services for anesthesia
01924,93010,Standard preparation/monitoring services for anesthesia
01924,99213,Standard preparation/monitoring services for anesthesia
01924,99282,Standard preparation/monitoring services for anesthesia
01924,99283,Standard preparation/monitoring services for anesthesia
01925,93000,Standard preparation/monitoring services for anesthesia
01925,93010,Standard preparation/monitoring services for anesthesia
01925,99213,Standard preparation/monitoring services for anesthesia
01925,99282,Standard preparation/monitoring services for anesthesia
01925,99283,Standard preparation/monitoring services for anesthesia
01926,93000,Standard preparation/monitoring services for anesthesia
01926,93010,Standard preparation/monitoring services for anesthesia
01926,99213,Standard preparation/monitoring services for anesthesia
01926,99282,Standard preparation/monitoring services for anesthesia
01926,99283,Standard preparation/monitoring services for anesthesia
01930,93000,Standard preparation/monitoring services for anesthesia
01930,93010,Standard preparation/monitoring services for anesthesia
01930,99213,Standard preparation/monitoring services for anesthesia
01930,99282,Standard preparation/monitoring services for anesthesia
01930,99283,Standard preparation/monitoring services for anesthesia
01931,93000,Standard preparation/monitoring services for anesthesia
01931,93010,Standard preparation/monitoring services for anesthesia
01931,99213,Standard preparation/monitoring services for anesthesia
01931,99282,Standard preparation/monitoring services for anesthesia
01931,99283,Standard preparation/monitoring services for anesthesia
01932,93000,Standard preparation/monitoring services for anesthesia
01932,93010,Standard preparation/monitoring services for anesthesia
01932,99213,Standard preparation/monitoring services for anesthesia
01932,99282,Standard preparation/monitoring services for anesthesia
01932,99283,Standard preparation/monitoring services for anesthesia
01933,93000,Standard preparation/monitoring services for anesthesia
01933,93010,Standard preparation/monitoring services for anesthesia
01933,99213,Standard preparation/monitoring services for anesthesia
01933,99282,Standard preparation/monitoring services for anesthesia
01933,99283,Standard preparation/monitoring services for anesthesia
01935,93000,Standard preparation/monitoring services for anesthesia
01935,93010,Standard preparation/monitoring services for anesthesia
01935,99213,Standard preparation/monitoring services for anesthesia
01935,99282,Standard preparation/monitoring services for anesthesia
01935,99283,Standard preparation/monitoring services for anesthesia
01936,93000,Standard preparation/monitoring services for anesthesia
01936,93010,Standard preparation/monitoring services for anesthesia
01936,99213,Standard preparation/monitoring services for anesthesia
01936,99282,Standard preparation/monitoring services for anesthesia
01936,99283,Standard preparation/monitoring services for anesthesia
01937,93000,Standard preparation/monitoring services for anesthesia
01937,93010,Standard preparation/monitoring services for anesthesia
01937,99213,Standard preparation/monitoring services for anesthesia
01937,99282,Standard preparation/monitoring services for anesthesia
01937,99283,Standard preparation/monitoring services for anesthesia
01938,93000,Standard preparation/monitoring services for anesthesia
01938,93010,Standard preparation/monitoring services for anesthesia
01938,99213,Standard preparation/monitoring services for anesthesia
01938,99282,Standard preparation/monitoring services for anesthesia
01938,99283,Standard preparation/monitoring services for anesthesia
01939,93000,Standard preparation/monitoring services for anesthesia
01939,93010,Standard preparation/monitoring services for anesthesia
01939,99213,Standard preparation/monitoring services for anesthesia
01939,99282,Standard preparation/monitoring services for anesthesia
01939,99283,Standard preparation/monitoring services for anesthesia
01940,93000,Standard preparation/monitoring services for anesthesia
01940,93010,Standard preparation/monitoring services for anesthesia
01940,99213,Standard preparation/monitoring services for anesthesia
01940,99282,Standard preparation/monitoring services for anesthesia
01940,99283,Standard preparation/monitoring services for anesthesia
01941,93000,Standard preparation/monitoring services for anesthesia
01941,93010,Standard preparation/monitoring services for anesthesia
01941,99213,Standard preparation/monitoring services for anesthesia
01941,99282,Standard preparation/monitoring services for anesthesia
01941,99283,Standard preparation/monitoring services for anesthesia
01942,93000,Standard preparation/monitoring services for anesthesia
01942,93010,Standard preparation/monitoring services for anesthesia
01942,99213,Standard preparation/monitoring services for anesthesia
01942,99282,Standard preparation/monitoring services for anesthesia
01942,99283,Standard preparation/monitoring services for anesthesia
01951,93000,Standard preparation/monitoring services for anesthesia
01951,93010,Standard preparation/monitoring services for anesthesia
01951,99213,Standard preparation/monitoring services for anesthesia
01951,99282,Standard preparation/monitoring services for anesthesia
01951,99283,Standard preparation/monitoring services for anesthesia
01952,93000,Standard preparation/monitoring services for anesthesia
01952,93010,Standard preparation/monitoring services for anesthesia
01952,99213,Standard preparation/monitoring services for anesthesia
01952,99282,Standard preparation/monitoring services for anesthesia
01952,99283,Standard preparation/monitoring services for anesthesia
01958,93000,Standard preparation/monitoring services for anesthesia
01958,93010,Standard preparation/monitoring services for anesthesia
01958,99213,Standard preparation/monitoring services for anesthesia
01958,99282,Standard preparation/monitoring services for anesthesia
01958,99283,Standard preparation/monitoring services for anesthesia
01960,93000,Standard preparation/monitoring services for anesthesia
01960,93010,Standard preparation/monitoring services for anesthesia
01960,99213,Standard preparation/monitoring services for anesthesia
01960,99282,Standard preparation/monitoring services for anesthesia
01960,99283,Standard preparation/monitoring services for anesthesia
01961,93000,Standard preparation/monitoring services for anesthesia
01961,93010,Standard preparation/monitoring services for anesthesia
01961,99213,Standard preparation/monitoring services for anesthesia
01961,99282,Standard preparation/monitoring services for anesthesia
01961,99283,Standard preparation/monitoring services for anesthesia
01962,93000,Standard preparation/monitoring services for anesthesia
01962,93010,Standard preparation/monitoring services for anesthesia
01962,99213,Standard preparation/monitoring services for anesthesia
01962,99282,Standard preparation/monitoring services for anesthesia
01962,99283,Standard preparation/monitoring services for anesthesia
01963,93000,Standard preparation/monitoring services for anesthesia
01963,93010,Standard preparation/monitoring services for anesthesia
01963,99213,Standard preparation/monitoring services for anesthesia
01963,99282,Standard preparation/monitoring services for anesthesia
01963,99283,Standard preparation/monitoring services for anesthesia
01965,93000,Standard preparation/monitoring services for anesthesia
01965,93010,Standard preparation/monitoring services for anesthesia
01965,99213,Standard preparation/monitoring services for anesthesia
01965,99282,Standard preparation/monitoring services for anesthesia
01965,99283,Standard preparation/monitoring services for anesthesia
01966,93000,Standard preparation/monitoring services for anesthesia
01966,93010,Standard preparation/monitoring services for anesthesia
01966,99213,Standard preparation/monitoring services for anesthesia
01966,99282,Standard preparation/monitoring services for anesthesia
01966,99283,Standard preparation/monitoring services for anesthesia
01967,93000,Standard preparation/monitoring services for anesthesia
01967,93010,Standard preparation/monitoring services for anesthesia
01967,99213,Standard preparation/monitoring services for anesthesia
01967,99282,Standard preparation/monitoring services for anesthesia
01967,99283,Standard preparation/monitoring services for anesthesia
01968,93000,Standard preparation/monitoring services for anesthesia
01968,93010,Standard preparation/monitoring services for anesthesia
01968,99213,Standard preparation/monitoring services for anesthesia
01968,99282,Standard preparation/monitoring services for anesthesia
01968,99283,Standard preparation/monitoring services for anesthesia
01969,93000,Standard preparation/monitoring services for anesthesia
01969,93010,Standard preparation/monitoring services for anesthesia
01969,99213,Standard preparation/monitoring services for anesthesia
01969,99282,Standard preparation/monitoring services for anesthesia
01969,99283,Standard preparation/monitoring services for anesthesia
0197T,99213,Standards of medical/surgical practice
0197T,99282,Standards of medical/surgical practice
0197T,99283,Standards of medical/surgical practice
01990,93000,Standard preparation/monitoring services for anesthesia
01990,93010,Standard preparation/monitoring services for anesthesia
01990,99213,Standard preparation/monitoring services for anesthesia
01990,99282,Standard preparation/monitoring services for anesthesia
01990,99283,Standard preparation/monitoring services for anesthesia
01991,93000,Standard preparation/monitoring services for anesthesia
01991,93010,Standard preparation/monitoring services for anesthesia
01991,99213,Standard preparation/monitoring services for anesthesia
01991,99282,Standard preparation/monitoring services for anesthesia
01991,99283,Standard preparation/monitoring services for anesthesia
01992,93000,Standard preparation/monitoring services for anesthesia
01992,93010,Standard preparation/monitoring services for anesthesia
01992,99213,Standard preparation/monitoring services for anesthesia
01992,99282,Standard preparation/monitoring services for anesthesia
01992,99283,Standard preparation/monitoring services for anesthesia
0200T,93000,Standards of medical/surgical practice
0200T,93010,Standards of medical/surgical practice
0201T,93000,Standards of medical/surgical practice
0201T,93010,Standards of medical/surgical practice
0202T,93000,Standards of medical/surgical practice
0202T,93010,Standards of medical/surgical practice
0203T,93000,CPT Manual or CMS manual coding instruction
0203T,93010,CPT Manual or CMS manual coding instruction
0204T,93000,CPT Manual or CMS manual coding instruction
0204T,93010,CPT Manual or CMS manual coding instruction
0207T,93000,Standards of medical/surgical practice
0207T,93010,Standards of medical/surgical practice
0213T,93000,Standards of medical/surgical practice
0213T,93010,Standards of medical/surgical practice
0216T,93000,Standards of medical/surgical practice
0216T,93010,Standards of medical/surgical practice
0219T,93000,Standards of medical/surgical practice
0219T,93010,Standards of medical/surgical practice
0220T,93000,Standards of medical/surgical practice
0220T,93010,Standards of medical/surgical practice
0221T,93000,Standards of medical/surgical practice
0221T,93010,Standards of medical/surgical practice
0226T,93000,Standards of medical/surgical practice
0226T,93010,Standards of medical/surgical practice
0227T,93000,Standards of medical/surgical practice
0227T,93010,Standards of medical/surgical practice
0228T,93000,Standards of medical/surgical practice
0228T,93010,Standards of medical/surgical practice
0229T,93000,Standards of medical/surgical practice
0229T,93010,Standards of medical/surgical practice
0230T,93000,Standards of medical/surgical practice
0230T,93010,Standards of medical/surgical practice
0231T,93000,Standards of medical/surgical practice
0231T,93010,Standards of medical/surgical practice
0232T,36415,CPT Manual or CMS manual coding instruction
0234T,93000,Standards of medical/surgical practice
0234T,93010,Standards of medical/surgical practice
0235T,93000,Standards of medical/surgical practice
0235T,93010,Standards of medical/surgical practice
0236T,93000,Standards of medical/surgical practice
0236T,93010,Standards of medical/surgical practice
0237T,93000,Standards of medical/surgical practice
0237T,93010,Standards of medical/surgical practice
0238T,93000,Standards of medical/surgical practice
0238T,93010,Standards of medical/surgical practice
0240T,93000,Standards of medical/surgical practice
0240T,93010,Standards of medical/surgical practice
0242T,93000,Standards of medical/surgical practice
0242T,93010,Standards of medical/surgical practice
0245T,93000,Standards of medical/surgical practice
0245T,93010,Standards of medical/surgical practice
0246T,93000,Standards of medical/surgical practice
0246T,93010,Standards of medical/surgical practice
0247T,93000,Standards of medical/surgical practice
0247T,93010,Standards of medical/surgical practice
0248T,93000,Standards of medical/surgical practice
